"Region","SUID_sd2","ID","SppCode","STATE_ABBR","ACTIVITY","LOCAL_QUALIFIER","nPlanted","nSurvived","PROC_FOREST","REMARKS","NBR_OF_UNITS","UOM","OWNERSHIP","ELEVATION","SU_SECURITY_ID","SU_CREATED_BY","SU_CREATED_DATE","SU_CREATED_IN_INSTANCE","SU_MODIFIED_BY","SU_MODIFIED_DATE","SU_MODIFIED_IN_INSTANCE","SUBUNIT","WATERSHED_CODE","STATE_ABBR.1","COUNTY_NAME","CONG_DIST_NAME","FIREREGIME","ISWUI","LAND_SUITABILITY_CLASS_CODE","REFORESTATION_STATUS_CODE","MGT_AREA_CODE","MGT_PRESCRIPTION_CODE","PRODUCTIVITY_CLASS_CODE","FEATURE_TYPE","SLOPE","ASPECT","LEGAL_LOCATION","ACT_OBJ_CLASS","ACT_OBJ_TECH","ACT_OBJ_NAME","EVENT_CN","ACTIVITY_CODE","LOCAL_QUALIFIER.1","ACT_SECURITY_ID","ACT_CREATED_BY","ACT_CREATED_DATE","ACT_CREATED_IN_INSTANCE","ACT_MODIFIED_BY","ACT_MODIFIED_DATE","ACT_MODIFIED_IN_INSTANCE","TREATMENT_NAME","DATE_PLANNED","NBR_UNITS_PLANNED","DATE_ACCOMPLISHED","NBR_UNITS_ACCOMPLISHED","DATE_COMPLETED","BIOMASS_UTILIZATION","CWPP","UNIT_ID","COST_PER_UOM","ACTIVITY_REMARKS","FISCAL_YEAR_PLANNED","FISCAL_YEAR_ACCOMPLISHED","FISCAL_YEAR_COMPLETED","CAUSAL_AGENT","EVENT_NAME","EVENT_YEAR","EXAM_NBR","ACTIVITY.1","TRACS_SILVA","NEEDS_ADJUSTMENT","REQ_CAUSAL_AGENT","ACTIVITY_UOM","IMPLEMENTATION_PROJECT_CN","IMPLEMENTATION_PROJECT_NBR","IMPLEMENTATION_PROJECT","IMPL_PROJECT_TYPE","SALE_CATEGORY","SALE_CN","NEPA_PROJECT_CN","PRI_FUNDING_EVENT_CN","PRIMARY_FUND","FUND_CODE","BASE_YEAR","PERCENT_FUNDED","FUND_NAME","FUND_ABBR","METHOD_CODE","EQUIPMENT_CODE","FUELS_FLAG","INVAS_FLAG","SILVI_FLAG","OTHER_FLAG","FUELS_KP_AREA","SUID_CN","AU_ID_NAME_ORG","FUND_CODES","PRI_BEN_RESOUCE_EVENT_CN","PRIMARY_RESOURCE","RESOURCE_CODE","WORKFORCE_CODES","KV_NBR_UNITS_FUNDED","PURPOSE_CODE","SCI_SPECIES_CODE","SCI_SPECIES_TYPE_CODE","NBR_PLANTED_TREES_STAKED","NBR_STAKED_TREES_SURVIVING","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","SURV_COMMENTS","CN","SEEDLOT","SEED_PLANNED_NBR_UNITS","SEED_ACTUAL_NBR_UNITS","SEED_UOM","NURSERY_CODE","SEEDLING_LOT_ID","SEEDLING_PLANNED_NBR_UNITS","SEEDLING_ACTUAL_NBR_UNITS","SEEDLING_UOM","SEED_BREEDING_ZONE","AGE_CLASS_SEED_BED","AGE_CLASS_TRANSPLANT","SEEDLING_STOCK_TYPE_CODE","SEED_SOURCE_CODE","ASST_MIGRATION","SUID_sd2.1","ID.1","FACTS_ID","Region.1","SppCode.1","Seedlot","Year_COMPLETED","FirstPlantingDate","LastPlantingDate","SeedlingActualUnits","PlantingDate","NurseryCode","SEED_SOURCE_CODE.1","SeedlingUOM","Seedzone","SUID_OG","Matched_Substring","SeedLAT","SeedLONG","DateSeedCollected","DateSeedTest","SeedlotSpp","SeedlotZone","Elev_SeedCollection","Nursery","SeedStock2023","SeedStockUnits"
2,"020402BIGCREEKTS001","020402BIGCREEKTS001","","CO","Fill-in or Replant Trees","N/A",NA,NA,204,"",41,"ACRES","FS",NA,20402,"CLADUE","1/19/21 17:17",10602,"","",NA,"001",NA,"CO","Mesa","3RD CONGRESSIONAL DISTRICT OF COLORADO",3,"N",500,"","6B","6B",4,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","6286566010602",4432,"N/A",20402,"CLADUE","6/30/21 17:58",10602,"IANCREILING","7/9/24 11:03",10602,"","2/1/2024",41,"6/18/2024",41,"2024-06-18","","","1",130.82,"",2024,2024,2024,"Harvest","BIG CREEK TS",2021,NA,"Fill-in or Replant Trees","Y","N","Y","Acres","","","","","C",26726010602,45651,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1264805010602,"BIGCREEKTS                                                                                          BIG CREEK TIMBER SALE                                                                               020402","CWKV","","","","",41,"","","",NA,NA,"","",NA,"","",NA,"",7042882010602,"ES-04-223-103-16",0,0,"Lbs","BES","ES-04-223-103-16",1500,1200,"Each","",NA,NA,NA,1,"N","020402BIGCREEKTS001","020402BIGCREEKTS001","BIGCREEKTS",2,"","ES0422310316",2024,"2024-06-18","2024-06-18","0","2024-06-18","BES",1,"Each","","020402BIGCREEKTS001","Complete Match","38.966377",108.090292,"15-Sep-16","15-May-17","PIEN","223","1030","Bessey",2700046.44,"nSeeds"
2,"020702PRLCPLFB01000","020702PRLCPLFB01000","","NE","Plant Trees","N/A",NA,NA,207,"Little Creek Reforestation CE
Finger Butte Unit 1",339,"ACRES","FS",NA,20702,"NDOBESH","5/8/23 11:39",10602,"NDOBESH","5/8/23 12:08",10602,"000",NA,"NE","Dawes","3RD CONGRESSIONAL DISTRICT OF NEBRASKA",3,"Y",500,"","","",6,"A",NA,"","T 33 N., R 48 W., Sections 5-8","EVENTS","ORACLE","SILVICULTURE","6758040010602",4431,"N/A",20702,"NDOBESH","5/8/23 11:39",10602,"SARAHMYERS","5/8/24 16:59",10602,"","4/1/2024",339,"4/5/2024",339,"2024-04-05","","","",140,"",2024,2024,2024,"Fire","SPOTTED TAIL",2006,NA,"Plant Trees","Y","N","Y","Acres","","","","","",NA,1757010602,NA,NA,NA,NA,NA,NA,NA,100,100,"",NA,"Y","Y",NA,1357505010602,"PRLCPLFB01                                                                                          PRLITTLECRCE FINGERBUT PLANTU1                                                                      020702","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",7010889010602,"PP-07-640-041-15",NA,NA,"","BES","",200,197,"Trees per Acre","",NA,NA,NA,1,"N","020702PRLCPLFB01000","020702PRLCPLFB01000","PRLCPLFB01",2,"","PP0764004115",2024,"2024-04-05","2024-04-05","","2024-04-05","BES",1,"Trees per Acre","","020702PRLCPLFB01000","Complete Match","42.722782",-102.940205,"22-Aug-15","12-May-16","PIPO","640","410","Bessey",NA,"nSeeds"
2,"020903CPRD000004603","020903CPRD000004603","","CO","Plant Trees","N/A",NA,NA,209,"Aka Boomerang Planting Unit 1",29.6,"ACRES","FS",NA,20903,"MLTOOLEY","8/18/16 10:03",10602,"MLTOOLEY","9/20/16 7:20",10602,"603",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",1,"N",500,"","","",4,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","AC1801309010602",4431,"N/A",20903,"KDUDA","1/26/09 15:35",10602,"MLTOOLEY","10/4/22 17:21",10602,"","7/11/2016",29.6,"7/11/2016",29.6,"2016-07-11","","","",400,"Planting portion of Unit C (from original Escarabajo, harvested under Boomerang Salvage TS)",2016,2016,2016,"Harvest","ESCARABAJO BEETLE SALVAGE TIMBER SALE",2007,NA,"Plant Trees","Y","N","Y","Acres","","","","","C",2176010602,7875,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1038816010602,"CPRD000004                                                                                          COUNTY LINE EIS                                                                                     020903","CWKV","AC1801309010602","Y","SILVICULTURE","CT",37.3,"","","",NA,NA,"","",NA,"","",NA,"",5198106010602,"ES0951311077",NA,NA,"","BES","ES0951311077",422,426,"Trees per Acre","513",1,NA,2,5,"N","020903CPRD000004603","020903CPRD000004603","CPRD000004",2,"","ES0951311077",2016,"2016-07-11","2023-08-05","","2016-07-11","BES",5,"Trees per Acre","513","020903CPRD000004603","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020903CPRD000012008","020903CPRD000012008","","CO","Plant Trees","N/A",NA,NA,209,"",17.5,"ACRES","FS",NA,20903,"MLTOOLEY","8/18/16 11:28",10602,"MLTOOLEY","9/20/16 8:02",10602,"008",NA,"CO","Rio Grande","",NA,"",500,"","","",5,"A",NA,"","All or parts of T37N, R4E, Sections 11, 13, 14, 15 and 24, NMPM, Rio Grande County, CO","EVENTS","ORACLE","SILVICULTURE","5137740010602",4431,"N/A",20903,"MLTOOLEY","8/18/16 11:31",10602,"FSDBA","9/8/22 17:22",10602,"","7/12/2016",17.5,"7/12/2016",17.5,"2016-07-12","","","",400,"",2016,2016,2016,"Harvest","",NA,NA,"Plant Trees","Y","N","Y","Acres","","","","","C",15368010602,39472,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1038836010602,"CPRD000012                                                                                          BURRO UNIT 15 VEG MGMT                                                                              020903","CWKV,RTRT","","","","CT",7.175,"","","",NA,NA,"","",NA,"","",NA,"",5198476010602,"ES0951311077",NA,NA,"","BES","ES0951311077",423,364,"Trees per Acre","513",1,NA,2,5,"N","020903CPRD000012008","020903CPRD000012008","CPRD000012",2,"","ES0951311077",2016,"2016-07-12","2016-07-12","","2016-07-12","BES",5,"Trees per Acre","513","020903CPRD000012008","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020903CPRD000012009","020903CPRD000012009","","CO","Plant Trees","N/A",NA,NA,209,"",4.3,"ACRES","FS",NA,20903,"MLTOOLEY","8/18/16 11:29",10602,"MLTOOLEY","9/20/16 9:49",10602,"009",NA,"CO","Rio Grande","",NA,"",500,"","","",5,"A",NA,"","All or parts of T37N, R4E, Sections 11, 13, 14, 15 and 24, NMPM, Rio Grande County, CO","EVENTS","ORACLE","SILVICULTURE","5137747010602",4431,"N/A",20903,"MLTOOLEY","8/18/16 11:31",10602,"FSDBA","9/8/22 17:22",10602,"","7/12/2016",4.3,"7/12/2016",4.3,"2016-07-12","","","",600,"",2016,2016,2016,"Harvest","",NA,NA,"Plant Trees","Y","N","Y","Acres","","","","","C",15368010602,39472,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1038837010602,"CPRD000012                                                                                          BURRO UNIT 15 VEG MGMT                                                                              020903","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",5198544010602,"ES0951311077",NA,NA,"","BES","ES0951311077",419,442,"Trees per Acre","513",1,NA,2,5,"N","020903CPRD000012009","020903CPRD000012009","CPRD000012",2,"","ES0951311077",2016,"2016-07-12","2016-07-12","","2016-07-12","BES",5,"Trees per Acre","513","020903CPRD000012009","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020907SGRD000001022","020907SGRD000001022","","CO","Plant Trees","N/A",NA,NA,209,"In June 2008, a severe wind event blew down approximately 57 acres of timber in an unnamed drainage on the east fact of lookout mountain.  A salvage sale was prepared to salvage windthrown and wind-damaged material .",36.5,"ACRES","FS",10800,20907,"MNELSON02","3/30/06 14:26",10602,"MNELSON02","7/28/16 14:08",10602,"022",NA,"CO","Saguache","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",4,"A",NA,"","T43N, R5E, Sec 6 and 7, N.M.P.M","EVENTS","ORACLE","SILVICULTURE","5099182010602",4431,"N/A",20907,"MNELSON02","7/28/16 14:15",10602,"RLSANCHEZ","9/27/22 8:05",10602,"","7/1/2016",36.5,"7/9/2016",36.5,"2016-07-22","","","",600,"Planted 411 TPA, due to lack of shade material, approximately 4675 shade cones were deployed to provide shade protection for the seedling.",2016,2016,2016,"Weather event","HARVEST",2011,NA,"Plant Trees","Y","N","Y","Acres","3656963010602","","RECOVERY","WBBS","C",7559010602,905010602,NA,NA,NA,NA,NA,NA,NA,100,0,"",NA,"Y","Y",NA,477529010602,"SGRD000001                                                                                          MOUNTAIN LION LOOKOUT ANALYSIS                                                                      020907","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",5099190010602,"ES0924410577",NA,NA,"","BES","",435,411,"Trees per Acre","",NA,NA,2,5,"N","020907SGRD000001022","020907SGRD000001022","SGRD000001",2,"","ES0924410577",2016,"2016-07-22","2016-07-22","","2016-07-22","BES",5,"Trees per Acre","","020907SGRD000001022","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","244","1050","Bessey",3650734.89,"nSeeds"
2,"020907SGRD000001021","020907SGRD000001021","","CO","Plant Trees","N/A",NA,NA,209,"In June 2008, a severe wind event blew down approximately 57 acres of timber in an unnamed drainage on the east fact of lookout mountain.  A salvage sale was prepared to salvage windthrown and wind-damaged material .",20.6,"ACRES","FS",10800,20907,"MNELSON02","3/30/06 14:26",10602,"MNELSON02","7/28/16 13:54",10602,"021",NA,"CO","Saguache","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",4,"A",NA,"","T43N, R5E, Sec 6 and 7, N.M.P.M","EVENTS","ORACLE","SILVICULTURE","5098963010602",4431,"N/A",20907,"MNELSON02","7/28/16 13:02",10602,"FSDBA","9/8/22 17:24",10602,"","7/1/2016",20.6,"7/9/2016",20.6,"2016-07-22","","","A",600,"Planted 411 TPA, due to lack of shade material, approximately 2725 shade cones were deployed to provide shade protection for the seedling.",2016,2016,2016,"Weather event","",NA,NA,"Plant Trees","Y","N","Y","Acres","3656963010602","","RECOVERY","WBBS","C",7559010602,905010602,NA,NA,NA,NA,NA,NA,NA,100,0,"",NA,"Y","Y",NA,477528010602,"SGRD000001                                                                                          MOUNTAIN LION LOOKOUT ANALYSIS                                                                      020907","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",5098980010602,"ES0924410577",NA,NA,"","BES","",435,411,"Trees per Acre","",NA,NA,NA,5,"N","020907SGRD000001021","020907SGRD000001021","SGRD000001",2,"","ES0924410577",2016,"2016-07-22","2016-07-22","","2016-07-22","BES",5,"Trees per Acre","","020907SGRD000001021","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","244","1050","Bessey",3650734.89,"nSeeds"
2,"020904DIRD000031520","020904DIRD000031520","","CO","Plant Trees","N/A",NA,NA,209,"The West Fork Complex (West Fork and Papoose Fires) burned on all, or portions, of these townships and ranges on the Rio Grande National Forest.",156.1,"ACRES","FS",10900,20904,"KDUDA","9/15/16 9:12",10602,"KDUDA","9/15/16 15:49",10602,"520",NA,"CO","Mineral","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",5,"A",NA,"E","T/R - 38N 1E, 38N 2E, 39.5N 2W, 39.5N 3W, 39N 1E, 39N 1W, 39N 2E, 39N 2W, 39N 3W, 40N 1E, 40N 1W, 40N 2E, 40N 2W, 40N 3W, 40N 4W, 41N 2W, 41N 3W.","EVENTS","ORACLE","SILVICULTURE","5187245010602",4431,"N/A",20904,"KDUDA","9/15/16 9:26",10602,"FSDBA","9/8/22 17:22",10602,"","7/9/2016",156.1,"7/9/2016",156.1,"2016-07-19","","","",202,"",2016,2016,2016,"Fire","PAPOOSE",2013,NA,"Plant Trees","Y","N","Y","Acres","","","","","",NA,43811,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1044369010602,"DIRD000031                                                                                          WEST FORK FIRE COMPLEX                                                                              020904","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",5189000010602,"ES0924510577",NA,NA,"","BES","ES0924510577",300,300,"Trees per Acre","",NA,NA,2,5,"N","020904DIRD000031520","020904DIRD000031520","DIRD000031",2,"","ES0924510577",2016,"2016-07-19","2016-07-19","","2016-07-19","BES",5,"Trees per Acre","","020904DIRD000031520","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","245","1050","Bessey",2943856.864,"nSeeds"
2,"020904DIRD000031521","020904DIRD000031521","","CO","Plant Trees","N/A",NA,NA,209,"The West Fork Complex (West Fork and Papoose Fires) burned on all, or portions, of these townships and ranges on the Rio Grande National Forest.",45.8,"ACRES","FS",10700,20904,"KDUDA","9/15/16 9:15",10602,"KDUDA","9/15/16 16:23",10602,"521",NA,"CO","Mineral","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",5,"A",NA,"NE","T/R - 38N 1E, 38N 2E, 39.5N 2W, 39.5N 3W, 39N 1E, 39N 1W, 39N 2E, 39N 2W, 39N 3W, 40N 1E, 40N 1W, 40N 2E, 40N 2W, 40N 3W, 40N 4W, 41N 2W, 41N 3W.","EVENTS","ORACLE","SILVICULTURE","5189048010602",4431,"N/A",20904,"KDUDA","9/15/16 16:38",10602,"FSDBA","9/8/22 17:22",10602,"","7/9/2016",45.8,"7/9/2016",45.8,"2016-07-19","","","",202,"",2016,2016,2016,"Fire","PAPOOSE FIRE",2013,NA,"Plant Trees","Y","N","Y","Acres","","","","","",NA,43811,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1044370010602,"DIRD000031                                                                                          WEST FORK FIRE COMPLEX                                                                              020904","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",5189087010602,"ES0924510577",NA,NA,"","BES","",300,300,"Trees per Acre","",NA,NA,NA,5,"N","020904DIRD000031521","020904DIRD000031521","DIRD000031",2,"","ES0924510577",2016,"2016-07-19","2016-07-19","","2016-07-19","BES",5,"Trees per Acre","","020904DIRD000031521","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","245","1050","Bessey",2943856.864,"nSeeds"
2,"020903CPRD000017203","020903CPRD000017203","","CO","Plant Trees","N/A",NA,NA,209,"",8.4,"ACRES","FS",NA,20903,"MLTOOLEY","10/4/22 10:40",10602,"MLTOOLEY","9/23/24 18:07",10602,"203",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",600,"","","",4,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","6638104010602",4431,"N/A",20903,"MLTOOLEY","10/4/22 10:41",10602,"MLTOOLEY","9/23/24 18:07",10602,"","9/23/2024",8.4,"9/23/2024",8.4,"2024-09-23","","","",360,"",2024,2024,2024,"Insect or disease","SPRUCE BEETLE EPIDEMIC",2016,NA,"Plant Trees","Y","N","Y","Acres","65,630,950,106,026,600,000"," ,CFLR025","REPLANT_ACT,RIO CHAMA","CFLRP,REPLNT","",NA,45419,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1333097010602,"CPRD000017                                                                                          SPRUCE HOLE SALVAGE PROJECT                                                                         020903","RTRT","","","","FA",NA,"","","",NA,NA,"","",NA,"","",NA,"",7118290010602,"ES-09-513-110-03",NA,NA,"","BES","",255,217,"Trees per Acre","",NA,NA,NA,1,"N","020903CPRD000017203","020903CPRD000017203","CPRD000017",2,"","ES0951311003",2024,"2024-09-23","2024-09-23","","2024-09-23","BES",1,"Trees per Acre","","020903CPRD000017203","Complete Match","37.045654",106.493114,"16-Sep-03","13-Apr-04","PIEN","513","1100","Bessey",1423416,"nSeeds"
