"Region","ID","Species","State","ACTIVITY","LOCAL_QUALIFIER","nPlanted","nSurvived","Seedlot","Year_COMPLETED","FirstPlantingDate","LastPlantingDate","Nursery","SeedStock2023","SeedStockUnits","SeedLAT","SeedLONG","Elevation_PlantingLoc","PlantedElevation","SeedElevation"
"2","020402BIGCREEKTS001","PIEN","CO","Fill-in or Replant Trees","N/A",NA,NA,"ES0422310316",2024,2024-06-18,2024-06-18,"BES",2700046.44,"nSeeds",38.966377,-108.090292,3020.01,3020.01,3119.04
"2","020702PRLCPLFB01000","PIPO","NE","Plant Trees","N/A",NA,NA,"PP0764004115",2024,2024-04-05,2024-04-05,"BES",NA,"nSeeds",42.722782,-102.940205,1139.24,1139.24,1244.28
"2","020903CPRD000017203","PIEN","CO","Plant Trees","N/A",NA,NA,"ES0951311003",2024,2024-09-23,2024-09-23,"BES",1423416,"nSeeds",37.045654,-106.493114,3201.28,3201.28,3436.76
"2","020903CPRD000017204","PIEN","CO","Plant Trees","N/A",NA,NA,"ES0951311003",2024,2024-09-23,2024-09-23,"BES",1423416,"nSeeds",37.045654,-106.493114,3223.64,3223.64,3436.76
"2","020904DIRD000031554","PIEN","CO","Plant Trees","N/A",NA,NA,"ES092451101801",2023,2023-09-27,2023-09-27,"BES",809649,"nSeeds",37.858119,-107.201091,3458.28,3458.28,3349.53
"2","020904DIRD000031555","PIEN","CO","Plant Trees","N/A",NA,NA,"ES092451101801",2023,2023-09-27,2023-09-27,"BES",809649,"nSeeds",37.858119,-107.201091,3517.14,3517.14,3349.53
"2","020904DIRD000031556","PIEN","CO","Plant Trees","N/A",NA,NA,"ES092451101801",2023,2023-09-27,2023-09-27,"BES",809649,"nSeeds",37.858119,-107.201091,3431.05,3431.05,3349.53
"2","020904DIRD000031553","PIEN","CO","Plant Trees","N/A",NA,NA,"ES092451101801",2023,2023-09-27,2023-09-27,"BES",809649,"nSeeds",37.858119,-107.201091,3523.59,3523.59,3349.53
"2","020904DIRD000031564","PIEN","CO","Plant Trees","N/A",NA,NA,"ES0924511118",2024,2024-09-26,2024-09-26,"BES",1053895.5,"nSeeds",37.85051,-107.20832,3280.22,3280.22,3373.95
"2","020904DIRD000031565","PIEN","CO","Plant Trees","N/A",NA,NA,"ES0924511118",2024,2024-09-26,2024-09-26,"BES",1053895.5,"nSeeds",37.85051,-107.20832,3300.53,3300.53,3373.95
"2","020904DIRD000001216","PIEN","CO","Plant Trees","N/A",NA,NA,"ES1522309511",2015,2015-05-27,2015-05-27,"BES",981939.93,"nSeeds",39.339,-107.428,2951.57,2951.57,2902.24
"2","020904DIRD000001215","PIEN","CO","Plant Trees","N/A",NA,NA,"ES1522309511",2015,2015-05-27,2015-05-27,"BES",981939.93,"nSeeds",39.339,-107.428,2830.57,2830.57,2902.24
"4","040306GROUSEPLNT000","PIAL","WY","Fill-in or Replant Trees","N/A",NA,NA,"DEADLINE11",2014,2014-09-22,2014-09-22,"CDA",2383,"lbs",42.401,-110.4919,3030.12,3030.12,3114.19
"1","011106A020620010000","PIAL","MT","Plant Trees","N/A",NA,NA,"JHMR850014",2022,2022-06-29,2022-06-29,"CDA",2537,"lbs",43.6,-110.85,2548.11,2548.11,2618.97
"1","011106A020620010000","PIAL","MT","Plant Trees","N/A",NA,NA,"TEEWINOT14",2022,2022-06-29,2022-06-29,"CDA",2459,"lbs",43.74081,-110.76071,2548.11,2548.11,2656.13
"2","021405BCWBPREGENRL2","PIAL","WY","Plant Trees","N/A",NA,NA,"7686",2024,2024-09-21,2024-09-21,"CDA",2736,"lbs",44.577219,-109.3755655,2815.88,2815.88,2253.03
"3","0305044000000003008","ABLA","AZ","Plant Trees","N/A",NA,NA,"CF05901098",2018,2018-09-11,2018-09-11,"LPK",2.69,"lbs",32.67285,-109.85872,3221.89,3221.89,2989.32
