"Region","SUID_sd2","ID","SppCode","STATE_ABBR","ACTIVITY","LOCAL_QUALIFIER","nPlanted","nSurvived","PROC_FOREST","REMARKS","NBR_OF_UNITS","UOM","OWNERSHIP","ELEVATION","SU_SECURITY_ID","SU_CREATED_BY","SU_CREATED_DATE","SU_CREATED_IN_INSTANCE","SU_MODIFIED_BY","SU_MODIFIED_DATE","SU_MODIFIED_IN_INSTANCE","SUBUNIT","WATERSHED_CODE","STATE_ABBR.1","COUNTY_NAME","CONG_DIST_NAME","FIREREGIME","ISWUI","LAND_SUITABILITY_CLASS_CODE","REFORESTATION_STATUS_CODE","MGT_AREA_CODE","MGT_PRESCRIPTION_CODE","PRODUCTIVITY_CLASS_CODE","FEATURE_TYPE","SLOPE","ASPECT","LEGAL_LOCATION","ACT_OBJ_CLASS","ACT_OBJ_TECH","ACT_OBJ_NAME","EVENT_CN","ACTIVITY_CODE","LOCAL_QUALIFIER.1","ACT_SECURITY_ID","ACT_CREATED_BY","ACT_CREATED_DATE","ACT_CREATED_IN_INSTANCE","ACT_MODIFIED_BY","ACT_MODIFIED_DATE","ACT_MODIFIED_IN_INSTANCE","TREATMENT_NAME","DATE_PLANNED","NBR_UNITS_PLANNED","DATE_ACCOMPLISHED","NBR_UNITS_ACCOMPLISHED","DATE_COMPLETED","BIOMASS_UTILIZATION","CWPP","UNIT_ID","COST_PER_UOM","ACTIVITY_REMARKS","FISCAL_YEAR_PLANNED","FISCAL_YEAR_ACCOMPLISHED","FISCAL_YEAR_COMPLETED","CAUSAL_AGENT","EVENT_NAME","EVENT_YEAR","EXAM_NBR","ACTIVITY.1","TRACS_SILVA","NEEDS_ADJUSTMENT","REQ_CAUSAL_AGENT","ACTIVITY_UOM","IMPLEMENTATION_PROJECT_CN","IMPLEMENTATION_PROJECT_NBR","IMPLEMENTATION_PROJECT","IMPL_PROJECT_TYPE","SALE_CATEGORY","SALE_CN","NEPA_PROJECT_CN","PRI_FUNDING_EVENT_CN","PRIMARY_FUND","FUND_CODE","BASE_YEAR","PERCENT_FUNDED","FUND_NAME","FUND_ABBR","METHOD_CODE","EQUIPMENT_CODE","FUELS_FLAG","INVAS_FLAG","SILVI_FLAG","OTHER_FLAG","FUELS_KP_AREA","SUID_CN","AU_ID_NAME_ORG","FUND_CODES","PRI_BEN_RESOUCE_EVENT_CN","PRIMARY_RESOURCE","RESOURCE_CODE","WORKFORCE_CODES","KV_NBR_UNITS_FUNDED","PURPOSE_CODE","SCI_SPECIES_CODE","SCI_SPECIES_TYPE_CODE","NBR_PLANTED_TREES_STAKED","NBR_STAKED_TREES_SURVIVING","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","SURV_COMMENTS","CN","SEEDLOT","SEED_PLANNED_NBR_UNITS","SEED_ACTUAL_NBR_UNITS","SEED_UOM","NURSERY_CODE","SEEDLING_LOT_ID","SEEDLING_PLANNED_NBR_UNITS","SEEDLING_ACTUAL_NBR_UNITS","SEEDLING_UOM","SEED_BREEDING_ZONE","AGE_CLASS_SEED_BED","AGE_CLASS_TRANSPLANT","SEEDLING_STOCK_TYPE_CODE","SEED_SOURCE_CODE","ASST_MIGRATION","SUID_sd2.1","ID.1","FACTS_ID","Region.1","SppCode.1","Seedlot","Year_COMPLETED","FirstPlantingDate","LastPlantingDate","SeedlingActualUnits","PlantingDate","NurseryCode","SEED_SOURCE_CODE.1","SeedlingUOM","Seedzone","SUID_OG","Matched_Substring","SeedLAT","SeedLONG","DateSeedCollected","DateSeedTest","SeedlotSpp","SeedlotZone","Elev_SeedCollection","Nursery","SeedStock2023","SeedStockUnits"
2,"020402BIGCREEKTS001","020402BIGCREEKTS001","","CO","Fill-in or Replant Trees","N/A",NA,NA,204,"",41,"ACRES","FS",NA,20402,"CLADUE","1/19/21 17:17",10602,"","",NA,"001",NA,"CO","Mesa","3RD CONGRESSIONAL DISTRICT OF COLORADO",3,"N",500,"","6B","6B",4,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","6286566010602",4432,"N/A",20402,"CLADUE","6/30/21 17:58",10602,"IANCREILING","7/9/24 11:03",10602,"","2/1/2024",41,"6/18/2024",41,"2024-06-18","","","1",130.82,"",2024,2024,2024,"Harvest","BIG CREEK TS",2021,NA,"Fill-in or Replant Trees","Y","N","Y","Acres","","","","","C",26726010602,45651,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1264805010602,"BIGCREEKTS                                                                                          BIG CREEK TIMBER SALE                                                                               020402","CWKV","","","","",41,"","","",NA,NA,"","",NA,"","",NA,"",7042882010602,"ES-04-223-103-16",0,0,"Lbs","BES","ES-04-223-103-16",1500,1200,"Each","",NA,NA,NA,1,"N","020402BIGCREEKTS001","020402BIGCREEKTS001","BIGCREEKTS",2,"","ES0422310316",2024,"2024-06-18","2024-06-18","0","2024-06-18","BES",1,"Each","","020402BIGCREEKTS001","Complete Match","38.966377",108.090292,"15-Sep-16","15-May-17","PIEN","223","1030","Bessey",2700046.44,"nSeeds"
2,"020702PRLCPLFB01000","020702PRLCPLFB01000","","NE","Plant Trees","N/A",NA,NA,207,"Little Creek Reforestation CE
Finger Butte Unit 1",339,"ACRES","FS",NA,20702,"NDOBESH","5/8/23 11:39",10602,"NDOBESH","5/8/23 12:08",10602,"000",NA,"NE","Dawes","3RD CONGRESSIONAL DISTRICT OF NEBRASKA",3,"Y",500,"","","",6,"A",NA,"","T 33 N., R 48 W., Sections 5-8","EVENTS","ORACLE","SILVICULTURE","6758040010602",4431,"N/A",20702,"NDOBESH","5/8/23 11:39",10602,"SARAHMYERS","5/8/24 16:59",10602,"","4/1/2024",339,"4/5/2024",339,"2024-04-05","","","",140,"",2024,2024,2024,"Fire","SPOTTED TAIL",2006,NA,"Plant Trees","Y","N","Y","Acres","","","","","",NA,1757010602,NA,NA,NA,NA,NA,NA,NA,100,100,"",NA,"Y","Y",NA,1357505010602,"PRLCPLFB01                                                                                          PRLITTLECRCE FINGERBUT PLANTU1                                                                      020702","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",7010889010602,"PP-07-640-041-15",NA,NA,"","BES","",200,197,"Trees per Acre","",NA,NA,NA,1,"N","020702PRLCPLFB01000","020702PRLCPLFB01000","PRLCPLFB01",2,"","PP0764004115",2024,"2024-04-05","2024-04-05","","2024-04-05","BES",1,"Trees per Acre","","020702PRLCPLFB01000","Complete Match","42.722782",-102.940205,"22-Aug-15","12-May-16","PIPO","640","410","Bessey",NA,"nSeeds"
2,"020903CPRD000000125","020903CPRD000000125","","CO","Plant Trees","N/A",NA,NA,209,"Entire District to be used for district wide programmatic NEPA such as CP Small Sales EA",4,"ACRES","FS",NA,20903,"MLTOOLEY","10/4/14 14:01",10602,"MLTOOLEY","10/4/14 14:01",10602,"125",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","4363887010602",4431,"N/A",20903,"MLTOOLEY","10/4/14 14:18",10602,"FSDBA","9/8/22 17:22",10602,"","9/2/2015",4,"9/2/2015",4,"2015-09-02","","","",533,"",2015,2015,2015,"Insect or disease","",NA,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",11822010602,672010602,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,956152010602,"CPRD000000                                                                                          ENTIRE DISTRICT                                                                                     020903","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",4643305010602,"ES0951310577",NA,NA,"","LPK","14C017",1.7,2.1,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000000125","020903CPRD000000125","CPRD000000",2,"","ES0951310577",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000000125","Complete Match","",NA,"1-Oct-77","17-Apr-01","PIEN","513","1050","Bessey",24207013.6,"nSeeds"
2,"020903CPRD000000126","020903CPRD000000126","","CO","Plant Trees","N/A",NA,NA,209,"Entire District to be used for district wide programmatic NEPA such as CP Small Sales EA",23,"ACRES","FS",NA,20903,"MLTOOLEY","10/4/14 14:04",10602,"MLTOOLEY","10/4/14 14:04",10602,"126",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","4363883010602",4431,"N/A",20903,"MLTOOLEY","10/4/14 14:18",10602,"FSDBA","9/8/22 17:22",10602,"","9/2/2015",23,"9/2/2015",23,"2015-09-02","","","",533,"",2015,2015,2015,"Insect or disease","",NA,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",11822010602,672010602,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,956154010602,"CPRD000000                                                                                          ENTIRE DISTRICT                                                                                     020903","RTRT","","","","CT",NA,"","","",NA,NA,"","",NA,"","",NA,"",4643308010602,"ES0951310577",NA,NA,"","LPK","14C017",10,13,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000000126","020903CPRD000000126","CPRD000000",2,"","ES0951310577",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000000126","Complete Match","",NA,"1-Oct-77","17-Apr-01","PIEN","513","1050","Bessey",24207013.6,"nSeeds"
2,"020903CPRD000000127","020903CPRD000000127","","CO","Plant Trees","N/A",NA,NA,209,"Entire District to be used for district wide programmatic NEPA such as CP Small Sales EA",17,"ACRES","FS",NA,20903,"MLTOOLEY","10/4/14 14:03",10602,"MLTOOLEY","10/4/14 14:03",10602,"127",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",500,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","3293367010602",4431,"N/A",20903,"MLTOOLEY","9/22/11 10:08",10602,"FSDBA","9/8/22 17:21",10602,"","9/2/2015",17,"9/2/2015",17,"2015-09-02","","","",400,"",2015,2015,2015,"Insect or disease","",NA,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",11822010602,672010602,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,956153010602,"CPRD000000                                                                                          ENTIRE DISTRICT                                                                                     020903","CWKV","","","","CT",17,"","","",NA,NA,"","",NA,"","",NA,"",4643310010602,"ES0951310577",NA,NA,"","LPK","14C018",3,2.6,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000000127","020903CPRD000000127","CPRD000000",2,"","ES0951310577",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000000127","Complete Match","",NA,"1-Oct-77","17-Apr-01","PIEN","513","1050","Bessey",24207013.6,"nSeeds"
2,"020903CPRD000004603","020903CPRD000004603","","CO","Plant Trees","N/A",NA,NA,209,"Aka Boomerang Planting Unit 1",29.6,"ACRES","FS",NA,20903,"MLTOOLEY","8/18/16 10:03",10602,"MLTOOLEY","9/20/16 7:20",10602,"603",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",1,"N",500,"","","",4,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","AC1801309010602",4431,"N/A",20903,"KDUDA","1/26/09 15:35",10602,"MLTOOLEY","10/4/22 17:21",10602,"","7/11/2016",29.6,"7/11/2016",29.6,"2016-07-11","","","",400,"Planting portion of Unit C (from original Escarabajo, harvested under Boomerang Salvage TS)",2016,2016,2016,"Harvest","ESCARABAJO BEETLE SALVAGE TIMBER SALE",2007,NA,"Plant Trees","Y","N","Y","Acres","","","","","C",2176010602,7875,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,1038816010602,"CPRD000004                                                                                          COUNTY LINE EIS                                                                                     020903","CWKV","AC1801309010602","Y","SILVICULTURE","CT",37.3,"","","",NA,NA,"","",NA,"","",NA,"",5198106010602,"ES0951311077",NA,NA,"","BES","ES0951311077",422,426,"Trees per Acre","513",1,NA,2,5,"N","020903CPRD000004603","020903CPRD000004603","CPRD000004",2,"","ES0951311077",2016,"2016-07-11","2023-08-05","","2016-07-11","BES",5,"Trees per Acre","513","020903CPRD000004603","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020903CPRD000004703","020903CPRD000004703","","CO","Plant Trees","N/A",NA,NA,209,"",44.8,"ACRES","FS",NA,20903,"MLTOOLEY","10/4/14 13:31",10602,"MLTOOLEY","10/4/14 13:31",10602,"703",NA,"CO","Conejos","3RD CONGRESSIONAL DISTRICT OF COLORADO",5,"N",720,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","3452443010602",4431,"N/A",20903,"MJMEDINA","1/5/12 8:23",10602,"FSDBA","9/8/22 17:21",10602,"","9/2/2015",44.8,"9/2/2015",44.8,"2015-09-02","","","",533,"",2015,2015,2015,"Insect or disease","",NA,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",13122010602,7875,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,956151010602,"CPRD000004                                                                                          COUNTY LINE EIS                                                                                     020903","CWKV,RTRT","","","","CT",7.5,"","","",NA,NA,"","",NA,"","",NA,"",4643270010602,"ES0951311077",NA,NA,"","LPK","14C017",19.5,18.5,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000004703","020903CPRD000004703","CPRD000004",2,"","ES0951311077",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000004703","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020903CPRD000004108","020903CPRD000004108","","CO","Plant Trees","N/A",NA,NA,209,"",24.1,"ACRES","FS",NA,20903,"CTBOONE","11/21/13 15:13",10602,"MLTOOLEY","10/4/14 11:32",10602,"108",NA,"CO","Conejos","",NA,"",720,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","AC1229584010602",4431,"N/A",20903,"JLEWIS03","9/27/06 16:26",10602,"MLTOOLEY","10/4/22 12:41",10602,"","9/2/2015",24.1,"9/2/2015",24.1,"2015-09-02","","","",400,"",2015,2015,2015,"Harvest","WOLF BEETLE SALVAGE TIMBER SALE",2006,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",185010602,7875,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,919942010602,"CPRD000004                                                                                          COUNTY LINE EIS                                                                                     020903","CWKV","AC1229584010602","Y","SILVICULTURE","CT",24.1,"","","",NA,NA,"","",NA,"","",NA,"",4642730010602,"ES0951311077",NA,NA,"","LPK","14C017",10.5,8.3,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000004108","020903CPRD000004108","CPRD000004",2,"","ES0951311077",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000004108","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020903CPRD000004109","020903CPRD000004109","","CO","Plant Trees","N/A",NA,NA,209,"",3.2,"ACRES","FS",NA,20903,"CTBOONE","11/21/13 15:14",10602,"MLTOOLEY","10/4/14 11:39",10602,"109",NA,"CO","Conejos","",NA,"",720,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","4093269010602",4431,"N/A",20903,"CTBOONE","11/21/13 15:26",10602,"MLTOOLEY","10/4/22 12:43",10602,"","9/2/2015",3.2,"9/2/2015",3.2,"2015-09-02","","","",400,"",2015,2015,2015,"Harvest","WOLF BEETLE SALVAGE TIMBER SALE",2006,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",185010602,7875,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,919943010602,"CPRD000004                                                                                          COUNTY LINE EIS                                                                                     020903","CWKV","","","","CT",3.2,"","","",NA,NA,"","",NA,"","",NA,"",4642751010602,"ES0951311077",NA,NA,"","LPK","14C017",1.3,1,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000004109","020903CPRD000004109","CPRD000004",2,"","ES0951311077",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000004109","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
2,"020903CPRD000004110","020903CPRD000004110","","CO","Plant Trees","N/A",NA,NA,209,"",24,"ACRES","FS",NA,20903,"CTBOONE","11/21/13 15:15",10602,"MLTOOLEY","3/13/15 19:23",10602,"110",NA,"CO","Conejos","",NA,"",720,"","","",5,"A",NA,"","","EVENTS","ORACLE","SILVICULTURE","4093267010602",4431,"N/A",20903,"CTBOONE","11/21/13 15:25",10602,"MLTOOLEY","10/4/22 16:10",10602,"","9/2/2015",29,"9/2/2015",24,"2015-09-02","","","",400,"",2015,2015,2015,"Harvest","WOLF BEETLE SALVAGE TIMBER SALE",2006,NA,"Plant Trees","Y","N","Y","Acres","3500168010602","","RECOVERY","WBBS","C",185010602,7875,NA,NA,NA,NA,NA,NA,NA,100,106,"",NA,"Y","Y",NA,919944010602,"CPRD000004                                                                                          COUNTY LINE EIS                                                                                     020903","CWKV","","","","CT",29,"","","",NA,NA,"","",NA,"","",NA,"",4642764010602,"ES0951311077",NA,NA,"","LPK","14C017",10.5,9.6,"Thousand Seedlings","513",1,NA,2,5,"N","020903CPRD000004110","020903CPRD000004110","CPRD000004",2,"","ES0951311077",2015,"2015-09-02","2015-09-02","","2015-09-02","LPK",5,"Thousand Seedlings","513","020903CPRD000004110","Complete Match","",NA,"1-Oct-77","28-Jul-15","PIEN","513","1100","Bessey",1483883.52,"nSeeds"
